Neighborhood,District,City,State,Latitude,Longitude,Full Address
Acres Home,Northwest,Houston,Texas,29.870719,-95.436543,"Acres Home, Houston, Texas "
Addicks,West,Houston,Texas,29.8132687,-95.6454759,"Addicks, Houston, Texas "
Afton Oaks,West,Houston,Texas,29.7368538,-95.4532482,"Afton Oaks, Houston, Texas "
Alief,Southwest,Houston,Texas,29.6827204,-95.593239,"Alief, Houston, Texas "
Astrodome Area,South,Houston,Texas,29.6852077,-95.4032257,"Astrodome Area, Houston, Texas "
Braeburn,Southwest,Houston,Texas,29.6768908,-95.5283682,"Braeburn, Houston, Texas "
Braeswood,Southwest,Houston,Texas,29.6896577,-95.4400613,"Braeswood, Houston, Texas "
Brays Oaks ,Southwest,Houston,Texas,29.6557112,-95.5280193,"Brays Oaks,  Houston, Texas "
Briar Forest,West,Houston,Texas,29.747835,-95.5872933,"Briar Forest, Houston, Texas "
Carverdale,Northwest,Houston,Texas,29.8587078,-95.545162,"Carverdale, Houston, Texas "
Central Northwest ,Northwest,Houston,Texas,29.8327499,-95.4448031,"Central Northwest,  Houston, Texas "
Central Southwest,South,Houston,Texas,29.6282415,-95.4307937,"Central Southwest, Houston, Texas "
Clear Lake,Southeast,Houston,Texas,29.585736,-95.1327829,"Clear Lake, Houston, Texas "
Clinton Park,East,Houston,Texas,29.740506,-95.2574352,"Clinton Park, Houston, Texas "
Denver Harbor,East,Houston,Texas,29.7743832,-95.3011399,"Denver Harbor, Houston, Texas "
Downtown,Downtown,Houston,Texas,29.7559698,-95.3573194,"Downtown, Houston, Texas "
East Houston,Northeast,Houston,Texas,29.8296699,-95.2699349,"East Houston, Houston, Texas "
East Little York,Northeast,Houston,Texas,29.8714094,-95.3005979,"East Little, York Houston, Texas"
Edgebrook,Southeast,Houston,Texas,29.6453933,-95.2265511,"Edgebrook, Houston, Texas "
El Dorado,Northeast,Houston,Texas,29.8051519,-95.24051,"El Dorado, Houston, Texas "
Eldridge,West,Houston,Texas,29.7324375,-95.6480151,"Eldridge, Houston, Texas "
Fairbanks ,Northwest,Houston,Texas,29.8527259,-95.5243864,"Fairbanks,  Houston, Texas "
Fondren Gardens,Southwest,Houston,Texas,29.6263258,-95.5012732,"Fondren Gardens, Houston, Texas "
Fort Bend,Southwest,Houston,Texas,29.5692614,-95.8142885,"Fort Bend, Houston, Texas "
Fourth Ward,West,Houston,Texas,29.7579028,-95.3808683,"Fourth Ward, Houston, Texas "
Golfcrest,Southeast,Houston,Texas,29.6851528,-95.2963115,"Golfcrest, Houston, Texas "
Greater Eastwood,Southeast,Houston,Texas,29.7357018,-95.3339582,"Greater Eastwood, Houston, Texas "
Greater Fifth Ward,Northeast,Houston,Texas,29.7761332,-95.32645,"Greater Fifth Ward, Houston, Texas "
Greater Greenspoint,North,Houston,Texas,29.9406789,-95.4139056,"Greater Greenspoint, Houston, Texas "
Greater Heights,Northwest,Houston,Texas,29.7962142,-95.399105,"Greater Heights, Houston, Texas "
Greater Hobby Area,Southeast,Houston,Texas,29.6254107,-95.2854369,"Greater Hobby Area, Houston, Texas "
Greater Inwood,Northwest,Houston,Texas,29.8657387,-95.4804344,"Greater Inwood, Houston, Texas "
Greater OST,Southeast,Houston,Texas,29.6911506,-95.3528565,"Greater OST, Houston, Texas "
Greater Third Ward,South,Houston,Texas,29.7278316,-95.3499071,"Greater Third Ward, Houston, Texas "
Greater Uptown,West,Houston,Texas,29.7462508,-95.4617071,"Greater Uptown, Houston, Texas "
Greenway,Southwest,Houston,Texas,29.7326743,-95.4332335,"Greenway, Houston, Texas "
Gulfgate Riverview,Southeast,Houston,Texas,29.708621,-95.3167989,"Gulfgate Riverview, Houston, Texas "
