District,Neighborhood,ID,Name
Northwest,Acres Home,4bd7a32e09ecb713886a477c,Mambo Seafood
Northwest,Acres Home,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Acres Home,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northwest,Acres Home,4b915dd0f964a520a9b633e3,Pappas Seafood House
Northwest,Acres Home,4b91ca29f964a5209ad733e3,Mambo Seafood
Northwest,Acres Home,5865a75365e7c70a2ff0aca4,Culichi Town
West,Addicks,54b835f1498ecfc83e9a3433,Crawfish N More
West,Addicks,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
West,Afton Oaks,4b42aa53f964a52074d825e3,Truluck's
West,Afton Oaks,4b305919f964a52017f924e3,Goode Company Seafood
West,Afton Oaks,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
Southwest,Alief,4b11b5faf964a520e28223e3,Pappadeaux Seafood Kitchen
Southwest,Alief,55e642fc498eba4e15fdb3f2,Lotus Seafood
South,Astrodome Area,4b305919f964a52017f924e3,Goode Company Seafood
South,Astrodome Area,5babc856838e59002c0a8c8a,Eunice
South,Astrodome Area,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
Southwest,Braeburn,4b21a7b0f964a520a43f24e3,Mambo Seafood
Southwest,Braeswood,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,Braeswood,5babc856838e59002c0a8c8a,Eunice
Southwest,Braeswood,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
Southwest,Brays Oaks ,4b21a7b0f964a520a43f24e3,Mambo Seafood
West,Briar Forest,4b11b5faf964a520e28223e3,Pappadeaux Seafood Kitchen
West,Briar Forest,55e642fc498eba4e15fdb3f2,Lotus Seafood
West,Briar Forest,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
West,Briar Forest,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
West,Briar Forest,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Carverdale,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Carverdale,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Carverdale,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
Northwest,Carverdale,4aa33694f964a520b44320e3,Goode Company Seafood
Northwest,Carverdale,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
Northwest,Carverdale,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northwest,Central Northwest ,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northwest,Central Northwest ,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Central Northwest ,4bd7a32e09ecb713886a477c,Mambo Seafood
South,Central Southwest,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
South,Central Southwest,4b8810baf964a520fadc31e3,J&J Seafood
Southeast,Clear Lake,4bbbc31ee45295210f2755a4,Pappas Seafood House
East,Clinton Park,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
East,Clinton Park,4cab5b3d2776b60ca8674b0d,Mambo Seafood
East,Clinton Park,4ef2233482310969a7db7c41,Texas Grill Seafood
East,Clinton Park,4c6cde2cd68a9c745aef6b6b,Captain Tom's Seafood and Oyster Bar
East,Denver Harbor,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Northeast,East Houston,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Northeast,East Houston,4ef2233482310969a7db7c41,Texas Grill Seafood
Northeast,East Houston,4cab5b3d2776b60ca8674b0d,Mambo Seafood
Northeast,East Little York,5865a75365e7c70a2ff0aca4,Culichi Town
Northeast,East Little York,4bd7a32e09ecb713886a477c,Mambo Seafood
Northeast,El Dorado,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Northeast,El Dorado,4cab5b3d2776b60ca8674b0d,Mambo Seafood
Northeast,El Dorado,4ef2233482310969a7db7c41,Texas Grill Seafood
Northeast,El Dorado,4c6cde2cd68a9c745aef6b6b,Captain Tom's Seafood and Oyster Bar
Northeast,El Dorado,4b6f6ac1f964a520b8ef2ce3,Captain Tom's
West,Eldridge,4b11b5faf964a520e28223e3,Pappadeaux Seafood Kitchen
West,Eldridge,55e642fc498eba4e15fdb3f2,Lotus Seafood
West,Eldridge,4b5f76aff964a520dfbb29e3,Rockfish Seafood Grill
Northwest,Fairbanks ,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Fairbanks ,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northwest,Fairbanks ,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Fairbanks ,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
Northwest,Fairbanks ,4aa33694f964a520b44320e3,Goode Company Seafood
Southwest,Fondren Gardens,4c74649cff1fb60c4c85f3a7,Lotus Seafood Market
Southwest,Fondren Gardens,53af68c5498e7d85f5283c5b,Ostionerias La Reyna
Southwest,Fort Bend,4bb665e0941ad13af95c1fe3,Pier 36 Seafood & Oyster Bar
Southeast,Golfcrest,594d71902be42528bc8d0e46,Casian Crawfish
Southeast,Golfcrest,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
Northeast,Greater Fifth Ward,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
North,Greater Greenspoint,4b915dd0f964a520a9b633e3,Pappas Seafood House
North,Greater Greenspoint,4b91ca29f964a5209ad733e3,Mambo Seafood
North,Greater Greenspoint,4b678c2ff964a520c0542be3,Captain Benny's
North,Greater Greenspoint,4bb68d73f562ef3bfe5e3097,Ostioneria Michoacan
North,Greater Greenspoint,5311467d11d2358d539058a7,Lotus Seafood
North,Greater Greenspoint,5865a75365e7c70a2ff0aca4,Culichi Town
North,Greater Greenspoint,4b5cd8c9f964a520134729e3,Pappadeaux Seafood Kitchen
North,Greater Greenspoint,5005ed3ee4b02c90cb2e53ec,Capitan Seafood Kitchen
North,Greater Greenspoint,54ebc1c8498eea13cc7eed82,Cajun Fuze
Southeast,Greater Hobby Area,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
Northwest,Greater Inwood,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Greater Inwood,4c96456a58d4b60c667d3929,Captain Benny's Seafood
