District,Neighborhood,ID,Name,Likes,Rating,Tips
West,Addicks,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
West,Briar Forest,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Northwest,Carverdale,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Northwest,Fairbanks ,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Northwest,Langwood,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
West,Memorial,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Northwest,Spring Branch Central,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Northwest,Spring Branch East,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Northwest,Spring Branch North,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
West,Spring Branch West,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
West,Westbranch,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
West,Westchase,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood,114,9.1,38
Southwest,Fort Bend,4bb665e0941ad13af95c1fe3,Pier 36 Seafood & Oyster Bar,27,8.9,17
West,Afton Oaks,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
West,Afton Oaks,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
West,Afton Oaks,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
South,Astrodome Area,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
South,Astrodome Area,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
Southwest,Braeswood,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
Southwest,Braeswood,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
East,Clinton Park,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
East,Denver Harbor,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Northeast,East Houston,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Northeast,El Dorado,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
West,Greater Uptown,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
West,Greater Uptown,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
West,Greater Uptown,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
Southwest,Greenway,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
Southwest,Greenway,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
Southwest,Greenway,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
Southwest,Gulfton,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
Southeast,Harrisburg,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Northeast,Hunterwood,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
East,Magnolia Park,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Southeast,Meadowbrook,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
South,Medical Center,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
South,Medical Center,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
Southwest,Meyerland,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
Southwest,Meyerland,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
West,Mid-West ,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
South,Museum Park,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
Southwest,Neartown,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
Southwest,Neartown,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
East,Northshore,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Southeast,Park Place,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
East,Pleasantville Area,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Northeast,Settegast,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen,78,8.8,8
Southwest,Sharpstown,4b42aa53f964a52074d825e3,Truluck's,222,8.8,80
South,South Main,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
South,South Main,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
South,Sunnyside,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
Southwest,University Place,4b305919f964a52017f924e3,Goode Company Seafood,196,8.8,77
Southwest,University Place,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood,125,8.8,59
